SC4803 青岛 十堰 18:20 20:30 300 100
SC4611 青岛 首尔 10:30 11:50 300 100
SC4613 青岛 首尔 12:00 13:25 300 100
SC4617 青岛 首尔 17:30 19:10 300 100
SC4619 青岛 首尔 18:30 20:10 300 100
SC4621 青岛 首尔 20:30 21:50 300 100
SC4609 青岛 首尔 08:45 10:20 300 100
SC4609 青岛 首尔 08:55 10:20 300 100
SC4085 青岛 台北 12:50 15:45 300 100
SC4923 青岛 太原 16:00 18:00 300 100
SC4849 青岛 成都天府 07:50 10:55 300 100
SC4851 青岛 成都天府 15:50 19:00 300 100
SC4855 青岛 成都天府 18:00 21:10 300 100
SC4853 青岛 成都天府 09:35 13:00 300 100
SC4859 青岛 成都天府 12:55 16:00 300 100
SC4722 青岛 乌鲁木齐 18:40 23:45 300 100
SC4923 青岛 乌鲁木齐 16:00 22:45 300 100
SC4863 青岛 武汉 10:30 13:00 300 100
SC4783 青岛 武汉 18:30 21:00 300 100
SC4965 青岛 西安 06:35 08:45 300 100
SC4967 青岛 西安 09:50 12:15 300 100
SC4969 青岛 西安 11:30 13:50 300 100
SC4971 青岛 西安 14:10 16:30 300 100
SC4987 青岛 西宁 07:30 12:20 300 100
SC4631 青岛 香港 13:00 16:25 300 100
SC4761 青岛 延吉 07:50 09:50 300 100
SC4987 青岛 银川 07:30 10:20 300 100
SC4723 青岛 长春 06:50 09:00 300 100
SC4786 青岛 长春 09:55 11:55 300 100
SC4725 青岛 长春 16:55 18:50 300 100
SC4727 青岛 长春 12:50 14:40 300 100
SC4875 青岛 长沙 15:30 18:10 300 100
SC4869 青岛 长沙 18:25 21:05 300 100
SC4873 青岛 长沙 08:00 10:45 300 100
SC4877 青岛 郑州 07:00 08:50 300 100
SC4857 青岛 郑州 07:35 09:25 300 100
SC4837 青岛 重庆 15:10 18:15 300 100
SC4841 青岛 重庆 19:10 22:15 300 100
SC4831 青岛 重庆 07:10 10:10 300 100
SC4833 青岛 重庆 08:50 11:55 300 100
SC4835 青岛 重庆 13:10 16:10 300 100
SC4839 青岛 重庆 17:10 20:15 300 100
SC4843 青岛 重庆 20:10 23:15 300 100
SC4845 青岛 重庆 21:10 00:30+1 300 100
SC4787 青岛 舟山 18:55 20:30 300 100
SC4909 青岛 珠海 06:50 11:20 300 100
SC4911 青岛 珠海 13:20 18:20 300 100
SC4887 青岛 遵义 10:20 13:35 300 100
SC4786 厦门 青岛 06:30 08:55 300 100
SC4782 厦门 青岛 13:00 15:30 300 100
SC4790 厦门 青岛 18:25 20:50 300 100
SC4788 厦门 青岛 06:50 11:00 300 100
SC4784 厦门 青岛 07:05 11:50 300 100
SC4686 深圳 青岛 13:35 16:30 300 100
SC4682 深圳 青岛 20:40 23:35 300 100
SC4718 沈阳 青岛 19:05 21:00 300 100
SC4720 沈阳 青岛 22:15 23:55 300 100
SC4716 沈阳 青岛 07:20 09:00 300 100
SC4722 沈阳 青岛 16:00 17:40 300 100
SC4804 十堰 青岛 15:20 17:20 300 100
SC4610 首尔 青岛 11:20 13:00 300 100
SC4612 首尔 青岛 13:00 14:30 300 100
SC4620 首尔 青岛 21:10 22:40 300 100
SC4622 首尔 青岛 07:45 09:20 300 100
SC4614 首尔 青岛 14:25 15:50 300 100
SC4618 首尔 青岛 20:10 21:50 300 100
SC4086 台北 青岛 16:45 19:10 300 100
SC4924 太原 青岛 15:20 17:05 300 100
SC4850 成都天府 青岛 12:05 14:40 300 100
SC4852 成都天府 青岛 20:05 22:40 300 100
SC4856 成都天府 青岛 22:15 00:45+1 300 100
SC4854 成都天府 青岛 14:05 16:40 300 100
SC4860 成都天府 青岛 17:05 19:35 300 100
SC4721 乌鲁木齐 青岛 07:45 12:30 300 100
SC4924 乌鲁木齐 青岛 11:00 17:05 300 100
SC4864 武汉 青岛 14:00 16:05 300 100
SC4784 武汉 青岛 09:55 11:50 300 100
SC4968 西安 青岛 23:15 01:20 300 100
SC4966 西安 青岛 23:10 00:55+1 300 100
SC4970 西安 青岛 14:55 17:00 300 100
SC4972 西安 青岛 17:40 20:05 300 100
SC4988 西宁 青岛 13:05 17:20 300 100
SC4632 香港 青岛 17:25 20:35 300 100
SC4762 延吉 青岛 11:00 13:30 300 100
SC4988 银川 青岛 15:00 17:20 300 100
SC4785 长春 青岛 12:55 15:00 300 100
SC4724 长春 青岛 09:55 11:55 300 100
SC4726 长春 青岛 19:40 21:45 300 100
SC4728 长春 青岛 15:30 17:25 300 99
SC4875 长沙 青岛 15:30 18:10 300 100
SC4869 长沙 青岛 18:25 21:05 300 100
SC4873 长沙 青岛 08:00 10:45 300 100
SC4877 郑州 青岛 07:00 08:50 300 100
SC4857 郑州 青岛 07:35 09:25 300 100
SC4837 重庆 青岛 15:10 18:15 300 100
SC4841 重庆 青岛 19:10 22:15 300 100
SC4831 重庆 青岛 07:10 10:10 300 100
SC4833 重庆 青岛 08:50 11:55 300 100
SC4835 重庆 青岛 13:10 16:10 300 100
SC4839 重庆 青岛 17:10 20:15 300 100
SC4843 重庆 青岛 20:10 23:15 300 100
SC4788 舟山 青岛 09:10 11:00 300 100
SC4912 珠海 青岛 19:10 23:45 300 100
SC4910 珠海 青岛 12:10 16:25 300 100
SC4888 遵义 青岛 18:50 21:30 300 100
SC9999 上海浦东 济南 09:00 11:00 999 100
